Provider,Service/Tier,Score,Rationale
GCP,Cloud SQL (HA),0.68,Synchronous standby automatic failover
GCP,Cloud Spanner,0.92,Globally distributed strong consistency 99.999% SLA
GCP,Firestore,0.82,Multi-region serverless NoSQL
GCP,Cloud Pub/Sub,0.82,Global replicated at-least-once delivery
MongoDB Atlas,M10/M20 (single region),0.55,Small dedicated clusters no redundancy
MongoDB Atlas,M30+ replica set,0.72,3-node replica set automatic failover
MongoDB Atlas,Global Clusters,0.88,Zone-sharded multi-region reads/writes
PlanetScale,Scaler,0.75,Vitess-based branching non-blocking schema changes
Supabase,Pro,0.62,Managed Postgres good DX but single-region
Vercel,Hobby,0.50,No SLA shared infrastructure
Vercel,Pro/Enterprise,0.72,Edge network preview deployments SLA on Enterprise
Fastly,CDN,0.83,High-performance edge strong SLA instant purge
Akamai,CDN,0.85,Largest CDN footprint enterprise-grade SLA
Twilio,Messaging/Voice,0.72,99.95% SLA redundant carriers
SendGrid/Mailgun,Managed Email,0.65,Managed email delivery IP reputation dependent
Auth0,B2C,0.72,Managed identity 99.9% SLA
Auth0,Enterprise/Private Cloud,0.85,Dedicated infrastructure higher SLA
Stripe,Payment Processing,0.88,99.9999% historical uptime redundant processing
PagerDuty,Incident Management,0.80,Multi-region high availability
